station_id,station_name,latitude,longitude,elevation,date,delta_t,wind_speed,wind_gust,wind_speed_unit,wind_direction
9,Baker,48.16713,-99.64839,1703,2025-05-04,25.5,20.781,31.563,mph,181.6
9,Baker,48.16713,-99.64839,1703,2025-05-05,22.9,13.896,24.472,mph,192
9,Baker,48.16713,-99.64839,1703,2025-05-06,17.1,14.099,22.615,mph,11.48
9,Baker,48.16713,-99.64839,1703,2025-05-07,20,9.162,15.9,mph,144.3
9,Baker,48.16713,-99.64839,1703,2025-05-08,24.2,23.219,33.42,mph,203.8
9,Baker,48.16713,-99.64839,1703,2025-05-09,18.6,10.547,16.397,mph,44.89
9,Baker,48.16713,-99.64839,1703,2025-05-10,26.2,23.309,34.158,mph,192.1
9,Baker,48.16713,-99.64839,1703,2025-05-11,32.3,21.363,31.809,mph,191.4
9,Baker,48.16713,-99.64839,1703,2025-05-12,30,13.618,24.718,mph,190
9,Baker,48.16713,-99.64839,1703,2025-05-13,21.8,11.527,18.634,mph,254.8
9,Baker,48.16713,-99.64839,1703,2025-05-14,15.5,16.893,28.454,mph,21.94
9,Baker,48.16713,-99.64839,1703,2025-05-15,1.1,21.586,28.566,mph,37.62
9,Baker,48.16713,-99.64839,1703,2025-05-16,1.1,23.242,33.286,mph,346.1
9,Baker,48.16713,-99.64839,1703,2025-05-17,2.3,10.787,16.274,mph,18.45
9,Baker,48.16713,-99.64839,1703,2025-05-18,2.9,18.723,25.725,mph,89
9,Baker,48.16713,-99.64839,1703,2025-05-19,4.9,14.303,26.463,mph,79.28
9,Baker,48.16713,-99.64839,1703,2025-05-20,1.2,13.442,24.964,mph,90.9
9,Baker,48.16713,-99.64839,1703,2025-05-21,1.8,6.259,9.939,mph,78.04
9,Baker,48.16713,-99.64839,1703,2025-05-22,13.9,3.17,9.317,mph,323
9,Baker,48.16713,-99.64839,1703,2025-05-23,16.4,15.144,24.964,mph,87
9,Baker,48.16713,-99.64839,1703,2025-05-24,18.3,4.411,13.788,mph,65.6
9,Baker,48.16713,-99.64839,1703,2025-05-25,20.6,7.38,15.032,mph,245.2
9,Baker,48.16713,-99.64839,1703,2025-05-26,19.7,5.333,12.547,mph,194.8
160,Banks,47.91997,-103.24063,2025,2025-05-01,7.7,13.504,31.563,mph,342.1
160,Banks,47.91997,-103.24063,2025,2025-05-02,18.3,4.729,11.925,mph,243
160,Banks,47.91997,-103.24063,2025,2025-05-03,26.1,8.254,16.148,mph,154.4
160,Banks,47.91997,-103.24063,2025,2025-05-04,29.1,10.795,21.005,mph,188.9
160,Banks,47.91997,-103.24063,2025,2025-05-05,14.1,21.654,33.286,mph,0.254
160,Banks,47.91997,-103.24063,2025,2025-05-06,14.8,4.346,10.684,mph,57.89
160,Banks,47.91997,-103.24063,2025,2025-05-07,19.2,13.882,26.843,mph,153.6
160,Banks,47.91997,-103.24063,2025,2025-05-08,25.8,11.292,20.378,mph,235
160,Banks,47.91997,-103.24063,2025,2025-05-09,21.3,5.615,14.907,mph,97.6
160,Banks,47.91997,-103.24063,2025,2025-05-10,32.1,13.252,26.843,mph,222.1
160,Banks,47.91997,-103.24063,2025,2025-05-11,28.9,8.172,15.529,mph,251
160,Banks,47.91997,-103.24063,2025,2025-05-12,30.6,6.543,16.645,mph,168.7
160,Banks,47.91997,-103.24063,2025,2025-05-13,19.9,13.037,23.108,mph,338.7
160,Banks,47.91997,-103.24063,2025,2025-05-14,3.3,8.471,13.169,mph,50.87
160,Banks,47.91997,-103.24063,2025,2025-05-15,1,15.82,26.843,mph,334.2
160,Banks,47.91997,-103.24063,2025,2025-05-16,5.7,10.639,20.49,mph,348.4
160,Banks,47.91997,-103.24063,2025,2025-05-17,9.5,6.203,14.659,mph,87
160,Banks,47.91997,-103.24063,2025,2025-05-18,2.6,16.781,26.463,mph,107.2
160,Banks,47.91997,-103.24063,2025,2025-05-19,2.2,12.842,20.244,mph,74.71
160,Banks,47.91997,-103.24063,2025,2025-05-20,2.8,6.912,12.299,mph,13.6
160,Banks,47.91997,-103.24063,2025,2025-05-21,3.6,5.926,11.802,mph,13.66
160,Banks,47.91997,-103.24063,2025,2025-05-22,10.4,5.944,12.05,mph,95.3
160,Banks,47.91997,-103.24063,2025,2025-05-23,12.1,13.482,24.226,mph,118.5
160,Banks,47.91997,-103.24063,2025,2025-05-24,13,9.854,16.148,mph,128.7
160,Banks,47.91997,-103.24063,2025,2025-05-25,16.2,9.693,18.007,mph,156
160,Banks,47.91997,-103.24063,2025,2025-05-26,16,12.889,23.734,mph,150.5
224,Bantry,48.400554,-100.703611,1503,2025-05-01,15.2,5.776,12.795,mph,339.7
224,Bantry,48.400554,-100.703611,1503,2025-05-02,15.1,3.953,11.429,mph,209.2
224,Bantry,48.400554,-100.703611,1503,2025-05-03,24.6,8.131,17.019,mph,194.9
224,Bantry,48.400554,-100.703611,1503,2025-05-04,26.9,18.276,29.438,mph,180.4
224,Bantry,48.400554,-100.703611,1503,2025-05-05,20.6,7.885,22.727,mph,295.9
224,Bantry,48.400554,-100.703611,1503,2025-05-06,15,10.113,17.764,mph,352.8
224,Bantry,48.400554,-100.703611,1503,2025-05-07,19.8,7.29,13.044,mph,142.3
