forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T15:00:00Z,2025-10-01T16:00:00Z,10 AM,11 AM,4.5,21,mph,S
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T16:00:00Z,2025-10-01T17:00:00Z,11 AM,12 PM,6.5,22,mph,S
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T17:00:00Z,2025-10-01T18:00:00Z,12 PM,1 PM,7.7,22,mph,S
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T18:00:00Z,2025-10-01T19:00:00Z,1 PM,2 PM,9.1,23,mph,S
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T19:00:00Z,2025-10-01T20:00:00Z,2 PM,3 PM,10.4,23,mph,S
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T20:00:00Z,2025-10-01T21:00:00Z,3 PM,4 PM,11.1,23,mph,S
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T21:00:00Z,2025-10-01T22:00:00Z,4 PM,5 PM,12,21,mph,S
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-01,2025-10-01T22:00:00Z,2025-10-01T23:00:00Z,5 PM,6 PM,12,20,mph,SSW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T11:00:00Z,2025-10-02T12:00:00Z,6 AM,7 AM,5.2,7,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T12:00:00Z,2025-10-02T13:00:00Z,7 AM,8 AM,4.6,7,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T13:00:00Z,2025-10-02T14:00:00Z,8 AM,9 AM,4.3,8,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T14:00:00Z,2025-10-02T15:00:00Z,9 AM,10 AM,6,9,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T15:00:00Z,2025-10-02T16:00:00Z,10 AM,11 AM,8.2,9,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T16:00:00Z,2025-10-02T17:00:00Z,11 AM,12 PM,11.3,9,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T17:00:00Z,2025-10-02T18:00:00Z,12 PM,1 PM,13.8,10,mph,WSW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T18:00:00Z,2025-10-02T19:00:00Z,1 PM,2 PM,16.2,10,mph,WSW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T19:00:00Z,2025-10-02T20:00:00Z,2 PM,3 PM,18,10,mph,WSW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T20:00:00Z,2025-10-02T21:00:00Z,3 PM,4 PM,19,10,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T21:00:00Z,2025-10-02T22:00:00Z,4 PM,5 PM,19,10,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-02,2025-10-02T22:00:00Z,2025-10-02T23:00:00Z,5 PM,6 PM,17.4,9,mph,W
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T11:00:00Z,2025-10-03T12:00:00Z,6 AM,7 AM,4.9,7,mph,ESE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T12:00:00Z,2025-10-03T13:00:00Z,7 AM,8 AM,4.6,7,mph,E
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T13:00:00Z,2025-10-03T14:00:00Z,8 AM,9 AM,4.6,8,mph,E
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T14:00:00Z,2025-10-03T15:00:00Z,9 AM,10 AM,5.2,8,mph,E
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T15:00:00Z,2025-10-03T16:00:00Z,10 AM,11 AM,6.2,9,mph,E
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T16:00:00Z,2025-10-03T17:00:00Z,11 AM,12 PM,7.6,10,mph,E
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T17:00:00Z,2025-10-03T18:00:00Z,12 PM,1 PM,9.3,10,mph,ESE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T18:00:00Z,2025-10-03T19:00:00Z,1 PM,2 PM,10.8,12,mph,ESE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T19:00:00Z,2025-10-03T20:00:00Z,2 PM,3 PM,11.9,12,mph,ESE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T20:00:00Z,2025-10-03T21:00:00Z,3 PM,4 PM,12.8,12,mph,ESE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T21:00:00Z,2025-10-03T22:00:00Z,4 PM,5 PM,12.8,12,mph,ESE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-03,2025-10-03T22:00:00Z,2025-10-03T23:00:00Z,5 PM,6 PM,11.8,12,mph,ESE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T11:00:00Z,2025-10-04T12:00:00Z,6 AM,7 AM,0.7,9,mph,NNE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T12:00:00Z,2025-10-04T13:00:00Z,7 AM,8 AM,0.7,9,mph,NNE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T13:00:00Z,2025-10-04T14:00:00Z,8 AM,9 AM,0.9,9,mph,NNE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T14:00:00Z,2025-10-04T15:00:00Z,9 AM,10 AM,1.6,10,mph,NE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T15:00:00Z,2025-10-04T16:00:00Z,10 AM,11 AM,2.5,10,mph,NE
